Pytanie,Pytanie 1,Pytanie 2,Pytanie 3,Pytanie 4,Poprawa odpowiedź
Skąd najlepiej pobierać aplikacje na telefon?,Z dowolnej strony internetowej,Tylko od znajomych,Z Google Play lub Apple App Store,Z pierwszego znalezionego linku w wyszukiwarce,3
Co oznacza 'dobre hasło'?,"Hasło składa się z co najmniej 8 znaków, w tym liter, cyfr i znaków specjalnych",Hasło to '123456',Hasło to twoje imię i rok urodzenia,"Hasło to jedno słowo, np. 'hasło'",1
Dlaczego nie powinno się klikać w podejrzane linki od znajomych?,Bo mogą nie działać,Bo są za długie,Bo zajmują dużo miejsca w telefonie,Bo mogą prowadzić do niebezpiecznych stron i wirusów,4
Co należy zrobić przed zainstalowaniem aplikacji?,Od razu ją pobrać i uruchomić,Zapisać ją na pendrivie,"Nie zwracać uwagi na nic, jeśli wygląda ciekawie","Przeczytać opinie, sprawdzić oceny i uprawnienia aplikacji",4
Dlaczego warto zainstalować program antywirusowy?,Żeby komputer działał szybciej,Bo tak radzą znajomi,Żeby łatwiej było znaleźć pliki na komputerze,Żeby ochronić się przed wirusami i szkodliwym oprogramowaniem,4
Jakie informacje należy zachować dla siebie podczas korzystania z komunikatora?,Swoje imię i nazwisko,Ulubione filmy,"Adres zamieszkania, numer telefonu i inne poufne dane",Plany na wakacje,3
"Co tracisz, wysyłając zdjęcie do internetu?",Kolor zdjęcia,Pamięć o zdjęciu,Kontrolę nad zdjęciem,Kopię zapasową zdjęcia,3
Jak powinniśmy się zachowywać podczas rozmów w komunikatorach?,Obrażać innych,Szanować innych i nie nękać nikogo,Pisać tylko wielkimi literami,Nie odpisywać na wiadomości,2
"Co zrobić, jeśli chcesz grać w gry komputerowe?",Pobierać je z zaufanych źródeł,Pytać znajomych o linki do gier,Ściągać je z przypadkowych stron,Grać bez instalowania czegokolwiek,1
Jak przeciwdziałać uzależnieniu od liczby polubień?,Zawsze klikać 'lubię to' na każdej fotografii,"Świadomie decydować, czy naprawdę podoba się zdjęcie","Sprawdzać, ile lajków zebrało zdjęcie znajomych",Polubić wszystkie zdjęcia o dużej liczbie lajków,2
Co oznacza skrót FOMO?,Focus on Mobile Online,Fear of Missing Out,Feel on My Own,Fun of Media Online,2
Jak możemy walczyć z FOMO?,Korzystać z internetu dłużej niż zwykle,Ignorować znajomych w realu i skupić się na sieci,Cieszyć się chwilą i zadbać o relacje w realu,Udostępniać więcej zdjęć w mediach społecznościowych,3
Dlaczego wielozadaniowość zmniejsza produktywność?,Ludzki mózg lepiej pracuje pod presją,Wielozadaniowość zwiększa koncentrację,Wielozadaniowość poprawia pamięć krótkotrwałą,Skupienie na jednym zadaniu jest bardziej efektywne,4
Co oznacza metoda 20 minut?,Praca nad zadaniem przez 20 minut bez przerwy po których następuje 5 minut przerwy,Sprawdzanie powiadomień co 20 minut,Zmiana zadania co 20 minut,Używanie telefonu przez 20 minut dziennie,1
"Co powinniśmy zrobić, aby zadbać o zdrowy sen?",Używać telefonu przed snem,Spać mniej niż 5 godzin,Unikać niebieskiego światła na godzinę przed snem,Grać w gry komputerowe przed snem,3
Jakie objawy mogą wskazywać na FOMO?,Pełne zadowolenie z życia offline,Brak jakichkolwiek emocji związanych z internetem,Poprawa wyników w nauce,Ciągła potrzeba korzystania z internetu,4
Dlaczego powinniśmy planować czas poza siecią?,Aby uniknąć nudy i rozwijać hobby,Aby grać więcej w gry online,Aby zaniedbać obowiązki szkolne,Aby spędzać więcej czasu na mediach społecznościowych,1
Co może spowodować nadużywanie nowych technologii?,Poprawę zdrowia,Zwiększenie liczby przyjaciół,Obniżenie poczucia własnej wartości,Poprawę wyników w nauce,3
"Co powinniśmy zrobić, aby uniknąć wad postawy?",Pochylać głowę korzystając z telefonu,Trzymać telefon na wysokości oczu,Siedzieć przez długie godziny przed komputerem,Nie zwracać uwagi na swoją postawę,2
Dlaczego warto ograniczać przekąski podczas oglądania filmów?,Aby jeść więcej zdrowych rzeczy,Aby zmniejszyć problemy zdrowotne,Aby koncentrować się na ekranie,Aby zyskać więcej energii,2
Co oznacza termin 'hejt'?,Dobre komentarze w sieci,Obrażanie i ośmieszanie w internecie,Udostępnianie zdjęć,Chwalenie się w internecie,2
"Co należy zrobić, zanim opublikujesz zdjęcie z innymi osobami?",Zapisać je na dysku,Zapytaj ich o zgodę,Udostępnić je w tajemnicy,"Nic, to tylko zdjęcie",2
Dlaczego nie powinno się publikować zdjęć z widocznym adresem zamieszkania?,Bo adres może się zmienić,To jest nielegalne,Może to prowadzić do kradzieży,Nikt nie zobaczy zdjęcia,3
"Co zrobić, jeśli ktoś grozi ci w internecie?",Odpowiedzieć groźbami,Zignorować,Poinformować dorosłego,Zmienić profil,3
Dlaczego warto zabezpieczyć swoje urządzenia hasłem?,Bo to jest modne,Aby szybciej się logować,Żeby wyglądać profesjonalnie,Aby chronić dane,4
Czym jest 'wizerunek' w internecie?,Zdjęcia znajomych,Tylko twój ubiór,"To, jak postrzegają cię inni",Lista twoich znajomych,3
"Co należy zrobić, jeśli jakaś interakcja w internecie budzi twój lęk lub strach?",Poinformować dorosłego,Usunąć konto,Napisać post,Nic nie robić,1
Dlaczego nie warto udostępniać zbyt wielu danych osobowych w internecie?,Bo zajmują miejsce,To może narazić cię na niebezpieczeństwo,Ludzie mogą się nudzić,To jest nielegalne,2
"Co zrobić, jeśli nie jesteś pewien, czy zdjęcie może być opublikowane w internecie?",Zapytaj rodzica lub nauczyciela,Opublikuj od razu,Usuń zdjęcie,Zignoruj problem,1
Dlaczego warto ustawić prywatność swoich zdjęć w sieci?,Aby ograniczyć dostęp tylko dla znajomych,Bo to jest darmowe,By móc je szybko usunąć,By więcej osób je zobaczyło,1
"Co może się stać, jeśli klikniesz w link od nieznajomej osoby?",Nic złego,Komputer się wyłączy,Link się nie otworzy,Twoje dane mogą zostać ukradzione,4
Co oznacza termin 'cyberprzemoc'?,Pomoc online,Agresja i prześladowanie w internecie,Dodawanie znajomych,Zakupy w internecie,2
Dlaczego nie warto reagować agresją na agresję w internecie?,Bo to jest trudne,Bo to eskaluje konflikt,Bo ludzie nie przeczytają,Bo nie można,2
"Co oznacza, że 'internet nie zapomina'?",Internet zapisuje tylko ważne rzeczy,Dane zostają na zawsze w sieci,Zdjęcia się usuwają automatycznie,Posty są ukrywane po czasie,2
Co oznacza termin phishing?,Wysyłanie fałszywych wiadomości w celu wyłudzenia informacji,Gra polegająca na łowieniu ryb wirtualnych,Tworzenie fałszywych kont w grach,Udostępnianie zdjęć online,1
Jak można rozpoznać wiadomość phishingową?,Brak literówek i wysokiej jakości grafiki,E-mail pochodzi od znajomej osoby,Wiadomość jest zawsze podpisana pełnym imieniem,Temat wymusza szybkie działanie,4
Dlaczego nie należy klikać w linki w wiadomościach phishingowych?,Mogą zawierać nieprzyzwoite treści,Są bezużyteczne,Mogą prowadzić do gier online,Mogą zainfekować komputer,4
Jakie są potencjalne niebezpieczeństwa w grach online?,Pomoc w nauce,Rozwój umiejętności miękkich,Kradzież tożsamości,Trening fizyczny,3
Co oznacza termin mikropłatności?,Drobne opłaty za dodatkowe funkcje w grze,Bezpłatne dodatki w grach,Zarabianie na grze,Opłaty za internet,1
Dlaczego nie należy podawać swojego hasła innym osobom?,Hasła są niepotrzebne w grach,Można je łatwo zmienić,Ktoś może przejąć Twoje konto,Hasła są publiczne,3
Jak można zabezpieczyć swoje konto w grach online?,Korzystając z prostych haseł,Używając pełnego imienia,Publikując swoje dane,Wylogowując się po grze,4
Co to jest uzależnienie od gier?,Brak chęci do gry,Zabawa z przyjaciółmi,Nadmierne granie z negatywnymi konsekwencjami,Rozwój umiejętności logicznych,3
Jakie działania mogą prowadzić do kradzieży tożsamości w sieci?,Podanie pseudonimu,Klikanie w nieznane linki,Wyłączenie gry,Używanie awatara,2
Dlaczego warto korzystać z menedżerów haseł?,Są trudne w użyciu,Zabezpieczają dane i są wygodne,Zapamiętują tylko jedno hasło,Wymagają dodatkowych opłat,2
Co powinieneś zrobić po zakończeniu gry online?,Zostawić grę włączoną,Wylogować się,Podzielić się hasłem,Zaprosić znajomych,2
Co to jest zasada free-to-play?,"Gra dostępna za darmo, ale z mikropłatnościami","Gra, która jest zawsze płatna",Gra bez reklam,Gra dla dwóch graczy,1
Jakie funkcje w ustawieniach prywatności warto sprawdzić?,Kalibrację ekranu,Dostęp do mikrofonu i kamery,Rodzaj grafiki,Czas gry,2
"Kto powinien zakładać konto, jeśli gracz ma poniżej 13 lat?",Sam gracz,Znajomi,Rodzice lub opiekunowie,Nauczyciele,3
Co oznacza netykieta w grach online?,Zasady kultury i szacunku w sieci,Styl gry,Rodzaj ustawień,Czas rozgrywki,1
Dlaczego nie powinieneś ustawiać swojego zdjęcia jako awatar?,To jest trudne do zrobienia,Bezpieczniejsze jest użycie grafiki lub awatara,Zdjęcia są zawsze potrzebne,Nie wpływa to na prywatność,2
Jakie są konsekwencje uzależnienia od gier?,Rozwój umiejętności,Poprawa zdrowia,Zaniedbanie obowiązków i relacji,Więcej wolnego czasu,3
"Co należy zrobić, jeśli zauważysz sygnały uzależnienia od gier?",Ignorować je,Grać dalej,Szukaj pomocy i wsparcia,Usunąć konto,3
Dlaczego warto używać pseudonimu w grach online?,Jest bardziej stylowy,Jest wymagany w każdej grze,Pozwala na lepsze wyniki,Chroni Twoją tożsamość,4
"Co zrobić, jeśli otrzymasz podejrzaną wiadomość e-mail?",Kliknij link i sprawdź,Podaj swoje dane,Zignoruj ostrzeżenia,Usuń wiadomość lub zgłoś ją,4
Dlaczego ważne jest wylogowanie się z gry na cudzym urządzeniu?,Nie ma takiej potrzeby,Jest to trudne,Wymaga hasła,Chroni Twoje konto przed dostępem innych osób,4
Jak można poprawić bezpieczeństwo swojego konta?,Udostępniając hasło,Logując się z cudzych urządzeń,Klikając każdy link,"Używając unikalnych haseł, najlepiej korzystać z ich menadżera",4
Jakie działania mogą prowadzić do infekcji komputera?,Klikanie w załączniki e-mail,Używanie pseudonimu,Granie w gry,Wylogowywanie się,1
"Co warto robić, aby uniknąć oszustw online?",Podawaj pełne dane,Klikaj każdy załącznik,Używaj jednego hasła,Sprawdzaj nadawcę wiadomości,4
Dlaczego warto grać w gry edukacyjne?,Są mniej interesujące,Nie wymagają myślenia,Nie mają żadnych zalet,Pomagają rozwijać umiejętności,4
Jak można rozpoznać podejrzane wiadomości e-mail?,Brak literówek,Profesjonalna grafika,Zawsze wysyłane przez bank,Ogólnikowe stwierdzenia i błędy językowe,4
Czym są menedżery haseł?,Programami służącymi do automatycznego tworzenia kont w mediach społecznościowych.,Aplikacjami do śledzenia aktywności znajomych w internecie.,Urządzeniami służącymi do zapamiętywania loginów i haseł.,"Narzędziami, które przechowują i pomagają zarządzać bezpiecznie hasłami użytkownika.",4
